Doug Dillon|Treat everyone you meet as if they were you.
Allan Lokos|Patience has all the time it needs.
Orna Ross|It's good to have an end in mind but in the end what counts is how you travel.
Tsoknyi Rinpoche|Through recognizing and realizing the empty essence, instead of being selfish and self-centered, one feels very open and free
David Foster Wallace|Think of the old cliché about the mind being 'an excellent servant but a terrible master'. This, like many clichés, so lame &amp; banal on the surface, actually expresses a great &amp; terrible truth.
Sharon Salzberg|Meditation is a microcosm, a model, a mirror. The skills we practice when we sit are transferable to the rest of our lives.
Allan Lokos|You cannot control the results, only your actions.
Sharon Salzberg|Meditation is the ultimate mobile device; you can use it anywhere, anytime, unobtrusively.
Ravi Ravindra|Yoga practice can make us more and more sensitive to subtler and subtler sensations in the body. Paying attention to and staying with finer and finer sensations within the body is one of the surest ways to steady the wandering mind. (39)
Allan Lokos|You actions are your only true belongings.
Sharon Salzberg|All beings want to be happy, yet so very few know how. It is out of ignorance that any of us cause suffering, for ourselves or for others
Ravi Ravindra|Each place is the right place--the place where I now am can be a sacred space. (3)
Stephen Richards|When you reach a calm and quiet meditative state, that is when you can hear the sound of silence.
Huston Smith|With mind distracted, never thinking, "Death is coming,". To slave away on the pointless business of mundane life,. And then to come out empty--it is a tragic error. (116). trans by Robert Thurman
Allan Lokos|One doesn't have to be religious to lead a moral life or attain wisdom.
Sharon Salzberg|Mindfulness, also called wise attention, helps us see what we’re adding to our experiences, not only during meditation sessions but also elsewhere.
Daniel J. Siegel|Mindfulness has never met a cognition it didn't like.
Allan Lokos|Inner Peace can be seen as the ultimate benefit of practicing patience.
Richard Bach|If you really want to remove a cloud from your life, you do not make a big production of it, you just relax and remove it from your thinking. That's all there is to it.
Sharon Salzberg|We use mindfulness to observe the way we cling to pleasant experiences &amp; push away unpleasant ones.
Sharon Salzberg|Let the breath lead the way.
Aberjhani|There is no envy, jealousy, or hatred between the different colors of the rainbow. And no fear either. Because each one exists to make the others’ love more beautiful.
Doug Dillon|Stay present for the “now” of your life. It’s your “point of power.
Stephen Batchelor|[Mindfulness] is not concerned with anything transcendent or divine. It serves as an antidote to theism, a cure for sentimental piety, a scalpel for excising the tumor of metaphysical belief. (130)
Jeffrey A.  White|Stop, breathe, look around. and embrace the miracle of each day,. the miracle of life.
Laurence Binyon|We too should make ourselves empty, that the great soul of the universe may fill us with its breath.
Sharon Salzberg|Meditation is essentially training our attention so that we can be more aware— not only of our own inner workings but also of what’s happening around us in the here &amp; now.
Sheri S. Tepper|A bird cried jubilation. In that moment they lived long. All minor motions were stilled and only the great ones were perceived. Beneath them the earth turned, singing.
Alaric Hutchinson|Love is being able to view a situation without adding duality to it.
Idowu Koyenikan|The mind is just like a muscle - the more you exercise it, the stronger it gets and the more it can expand.
Eric Schmidt|A mind set in its ways is wasted. Don't do it.
Amit Ray|Open the window of your mind. Allow the fresh air,new lights and new truths to enter.
Mary Oliver|How heron comes. . It is a negligence of the mind. not to notice how at dusk. heron comes to the pond and. stands there in his death robes, perfect. servant of the system, hungry, his eyes. full of attention, his wings. pure light
Sharon Salzberg|To reteach a thing its loveliness is the nature of metta. Through lovingkindness, everyone &amp; everything can flower again from within.
Rashedur Ryan Rahman|Your comfort zone is a place where you keep yourself in a self-illusion and nothing can grow there but your potentiality can grow only when you can think and grow out of that zone.
Allan Lokos|Remind yourself that your mental &amp; emotional health are important.
Bert McCoy|Don't be so loyal to your mind; the mind is not loyal to You.
Allan Lokos|We need never be bound by the limitations of our previous or current thinking, nor are we ever locked into being the person we used to be, or think we are.
Allan Lokos|The experience of pleasant, unpleasant, or neutral is the consequences of perception.
Allan Lokos|Patience is both the tool for and the result of, our efforts.
